product_id,product_name,category,price
1,Smartphone,Electronics,702.6
2,Smartphone Pro,Electronics,1140.08
3,Smartphone Plus,Electronics,1267.8
4,Laptop,Electronics,1160.43
5,Laptop Pro,Electronics,805.88
6,Laptop Plus,Electronics,958.79
7,Headphones,Electronics,687.82
8,Headphones Pro,Electronics,1084.64
9,Headphones Plus,Electronics,390.02
10,Tablet,Electronics,513.58
11,Tablet Pro,Electronics,833.22
12,Tablet Plus,Electronics,250.64
13,Smartwatch,Electronics,605.4
14,Smartwatch Pro,Electronics,271.57
15,Camera,Electronics,143.13
16,Camera Pro,Electronics,641.02
17,Monitor,Electronics,725.59
18,Monitor Pro,Electronics,140.29
19,Monitor Plus,Electronics,1257.69
20,Monitor Mini,Electronics,614.74
21,Keyboard,Electronics,1421.79
22,Keyboard Pro,Electronics,78.32
23,Keyboard Plus,Electronics,1326.95
24,Keyboard Mini,Electronics,884.75
25,Mouse,Electronics,58.55
26,Mouse Pro,Electronics,560.05
27,Mouse Plus,Electronics,1142.54
28,Speaker,Electronics,830.42
29,Speaker Pro,Electronics,1115.22
30,Speaker Plus,Electronics,1209.81
31,Blender,Home,202.97
32,Blender Pro,Home,120.08
33,Vacuum Cleaner,Home,26.17
34,Vacuum Cleaner Pro,Home,144.41
35,Vacuum Cleaner Plus,Home,276.47
36,Coffee Maker,Home,293.81
37,Coffee Maker Pro,Home,338.59
38,Coffee Maker Plus,Home,369.02
39,Toaster,Home,220.64
40,Toaster Pro,Home,364.17
41,Toaster Plus,Home,242.88
42,Toaster Mini,Home,270.25
43,Air Fryer,Home,262.46
44,Air Fryer Pro,Home,67.24
45,Lamp,Home,84.97
46,Lamp Pro,Home,115.16
47,Lamp Plus,Home,141.03
48,Mattress,Home,140.84
49,Mattress Pro,Home,308.07
50,Mattress Plus,Home,160.96
51,Pillow,Home,112.12
52,Pillow Pro,Home,46.53
53,Pillow Plus,Home,22.46
54,Curtains,Home,35.05
55,Curtains Pro,Home,381.49
56,Curtains Plus,Home,101.33
57,Curtains Mini,Home,41.42
58,Rug,Home,30.5
59,Rug Pro,Home,26.95
60,Rug Plus,Home,110.2
61,Rug Mini,Home,338.1
62,T-Shirt,Clothing,31.33
63,T-Shirt Pro,Clothing,27.67
64,T-Shirt Plus,Clothing,103.72
65,T-Shirt Mini,Clothing,88.96
66,Jeans,Clothing,75.1
67,Jeans Pro,Clothing,45.87
